case_id,title,description,status,created_at
CASE0231,Synthetic Investigation 0231,,PENDING,2022-01-03 10:51:13+00
CASE0232,Synthetic Investigation 0232,Extortion complaint regarding repeated threatening calls demanding payment.,PENDING,2024-10-13 18:19:07+00
CASE0233,Synthetic Investigation 0233,Extortion complaint regarding repeated threatening calls demanding payment.,CLOSED,2022-10-02 00:43:01+00
CASE0234,Synthetic Investigation 0234,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,CLOSED,2024-01-26 16:57:47+00
CASE0235,Synthetic Investigation 0235,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.,PENDING,2024-05-30 22:43:37+00
CASE0236,Synthetic Investigation 0236,,CLOSED,2022-11-09 03:37:04+00
CASE0237,Synthetic Investigation 0237,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,CLOSED,2023-02-07 21:20:24+00
CASE0238,Synthetic Investigation 0238,,PENDING,2023-11-16 15:37:19+00
CASE0239,Synthetic Investigation 0239,Money laundering indicators observed through layered transactions across multiple accounts.,OPEN,2024-09-15 15:57:57+00
CASE0240,Synthetic Investigation 0240,Cheating case registered involving forged property documents and misrepresentation.,OPEN,2023-08-10 18:44:26+00
