fir_id,case_id,date,police_station,complaint_text
FIR00229,CASE0215,2025-04-07,Hazratganj Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00230,CASE0196,2022-05-06,Sector 17 Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00231,CASE0080,2022-02-21,T Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00232,CASE0149,2023-05-19,Koregaon Park Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00233,CASE0049,2023-10-03,Koregaon Park Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00234,CASE0056,2024-11-08,Bandra Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00235,CASE0232,2024-12-12,T Nagar Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00236,CASE0079,2023-04-04,Whitefield Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00237,CASE0110,2023-05-01,MG Road Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00238,CASE0065,2023-11-11,Satellite Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00239,CASE0118,2022-02-24,Satellite Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00240,CASE0222,2024-07-11,Satellite Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00241,CASE0141,2022-07-04,T Nagar Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00242,CASE0191,2024-12-10,Koregaon Park Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00243,CASE0061,2024-02-18,MG Road Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00244,CASE0183,2022-09-20,T Nagar Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00245,CASE0047,2025-01-21,Andheri Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00246,CASE0075,2022-07-13,Koregaon Park Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00247,CASE0083,2023-09-15,Secunderabad Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00248,CASE0123,2022-06-07,Andheri Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00249,CASE0142,2024-03-19,MG Road Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00250,CASE0133,2023-02-07,T Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00251,CASE0146,2024-07-28,Andheri Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00252,CASE0097,2023-06-21,Secunderabad Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00253,CASE0065,2024-10-16,T Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00254,CASE0192,2025-06-24,Koramangala Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00255,CASE0082,2023-05-22,Hazratganj Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00256,CASE0047,2022-04-28,Secunderabad Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00257,CASE0148,2025-02-27,Colaba Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00258,CASE0098,2025-12-03,Bandra Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00259,CASE0177,2025-12-21,Secunderabad Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00260,CASE0165,2022-07-28,Secunderabad Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00261,CASE0012,2023-08-08,Koregaon Park Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00262,CASE0011,2024-09-07,T Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00263,CASE0234,2022-09-19,T Nagar Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00264,CASE0082,2025-09-23,Gomti Nagar Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00265,CASE0232,2022-12-22,Secunderabad Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00266,CASE0165,2024-01-15,Koramangala Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00267,CASE0170,2022-11-23,Sector 17 Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00268,CASE0075,2025-07-15,Satellite Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00269,CASE0015,2022-01-04,Gomti Nagar Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00270,CASE0066,2023-10-15,Sector 17 Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00271,CASE0103,2024-10-12,Whitefield Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00272,CASE0081,2025-05-18,Colaba Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00273,CASE0229,2024-02-22,Andheri Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00274,CASE0140,2025-07-29,Hazratganj Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00275,CASE0207,2022-03-05,Hazratganj Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00276,CASE0185,2022-03-14,Satellite Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00277,CASE0161,2022-09-13,Koramangala Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00278,CASE0223,2023-08-17,Koramangala Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00279,CASE0203,2023-01-31,Secunderabad Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00280,CASE0070,2025-11-29,Bandra Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00281,CASE0093,2022-10-10,Gomti Nagar Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00282,CASE0089,2025-08-14,Secunderabad Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00283,CASE0027,2024-10-10,T Nagar Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00284,CASE0128,2024-02-01,Park Street Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00285,CASE0110,2023-11-10,Whitefield Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00286,CASE0186,2022-04-03,Sector 17 Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00287,CASE0071,2025-04-07,Hazratganj Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00288,CASE0164,2025-04-26,Andheri Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00289,CASE0005,2025-11-07,T Nagar Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network. Subject also referred to as Ishaan Hussaiin. Phone noted in station diary as 8983074880. Subject also referred to as Fatima uKmar. Phone noted in station diary as 9501526944. Subject also referred to as Naveen Meehta. Phone noted in station diary as 7063435248. Subject also referred to as Rohan RReddy. Phone noted in station diary as 6237109728.
FIR00290,CASE0221,2022-07-12,Gomti Nagar Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00291,CASE0231,2022-09-25,Koramangala Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00292,CASE0199,2024-03-29,T Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00293,CASE0053,2023-01-07,Gomti Nagar Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00294,CASE0240,2023-11-22,Koregaon Park Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00295,CASE0147,2022-05-15,Malviya Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00296,CASE0069,2025-06-10,Hazratganj Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00297,CASE0154,2023-04-15,Whitefield Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00298,CASE0146,2022-10-10,T Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00299,CASE0097,2025-08-11,Whitefield Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00300,CASE0094,2022-03-31,Malviya Nagar Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00301,CASE0240,2025-10-12,Gomti Nagar Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00302,CASE0203,2025-10-12,Malviya Nagar Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00303,CASE0218,2022-07-05,Hazratganj Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00304,CASE0080,2024-11-24,Andheri Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00305,CASE0066,2023-08-01,Whitefield Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00306,CASE0027,2024-01-23,Koramangala Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00307,CASE0054,2023-07-24,Andheri Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00308,CASE0183,2025-11-02,T Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00309,CASE0180,2023-07-15,Koramangala Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00310,CASE0236,2023-04-05,MG Road Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00311,CASE0123,2022-09-25,Koramangala Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00312,CASE0101,2022-08-27,Koregaon Park Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00313,CASE0132,2025-11-12,Malviya Nagar Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00314,CASE0159,2024-10-11,Andheri Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00315,CASE0119,2022-12-25,Secunderabad Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00316,CASE0212,2024-07-17,Malviya Nagar Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00317,CASE0218,2023-09-28,Satellite Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00318,CASE0190,2023-04-07,Koramangala Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00319,CASE0084,2024-07-28,Sector 17 Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00320,CASE0092,2025-05-20,Koramangala Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00321,CASE0150,2023-12-25,Hazratganj Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00322,CASE0083,2023-04-20,Koramangala Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00323,CASE0070,2023-08-24,Park Street Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00324,CASE0118,2024-01-05,Malviya Nagar Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00325,CASE0059,2022-04-15,Malviya Nagar Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00326,CASE0094,2025-01-03,Park Street Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00327,CASE0051,2022-03-29,Malviya Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00328,CASE0190,2025-06-01,Hazratganj Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00329,CASE0110,2025-09-14,MG Road Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00330,CASE0123,2022-08-10,Malviya Nagar Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00331,CASE0118,2022-04-09,Malviya Nagar Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00332,CASE0063,2024-09-15,T Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00333,CASE0152,2025-07-15,Park Street Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00334,CASE0180,2022-09-20,T Nagar Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00335,CASE0125,2023-10-17,Secunderabad Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00336,CASE0015,2025-02-26,Koramangala Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00337,CASE0226,2022-07-04,Malviya Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00338,CASE0065,2024-01-09,Whitefield Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00339,CASE0155,2022-01-10,T Nagar Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00340,CASE0130,2024-11-07,Colaba Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00341,CASE0112,2022-03-09,Hazratganj Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00342,CASE0046,2025-01-28,Hazratganj Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00343,CASE0043,2022-02-04,Satellite Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00344,CASE0004,2023-10-25,Bandra Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00345,CASE0041,2024-02-22,Koregaon Park Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00346,CASE0088,2022-11-25,Andheri Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00347,CASE0099,2023-09-04,Malviya Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00348,CASE0218,2022-12-24,Gomti Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00349,CASE0218,2022-11-09,Hazratganj Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00350,CASE0098,2025-09-05,Secunderabad Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00351,CASE0180,2022-03-07,Malviya Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00352,CASE0035,2022-04-30,Gomti Nagar Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00353,CASE0179,2023-11-03,Sector 17 Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00354,CASE0081,2022-08-04,Koramangala Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00355,CASE0111,2025-07-18,Andheri Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00356,CASE0051,2025-01-30,T Nagar Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00357,CASE0126,2022-04-04,Satellite Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00358,CASE0192,2025-03-08,Bandra Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00359,CASE0233,2024-12-21,Park Street Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00360,CASE0085,2023-05-09,Malviya Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00361,CASE0080,2025-06-24,MG Road Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00362,CASE0004,2024-01-30,T Nagar Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00363,CASE0198,2022-12-06,Satellite Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00364,CASE0012,2024-12-07,T Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00365,CASE0090,2024-06-20,Secunderabad Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00366,CASE0229,2023-09-03,Koramangala Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00367,CASE0095,2022-03-22,Whitefield Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00368,CASE0052,2022-07-25,Andheri Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00369,CASE0119,2023-11-23,Park Street Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00370,CASE0225,2023-08-28,Bandra Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00371,CASE0063,2022-12-16,Andheri Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00372,CASE0220,2024-10-09,Andheri Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00373,CASE0028,2023-05-10,T Nagar Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00374,CASE0113,2022-10-28,Bandra Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00375,CASE0204,2024-05-05,Whitefield Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00376,CASE0037,2023-02-18,Park Street Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00377,CASE0138,2022-11-03,Andheri Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00378,CASE0099,2024-11-14,Colaba Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00379,CASE0228,2022-02-06,Gomti Nagar Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00380,CASE0088,2023-04-02,Malviya Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00381,CASE0052,2022-04-20,Colaba Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00382,CASE0144,2024-12-17,Koregaon Park Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00383,CASE0048,2023-02-23,Koramangala Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00384,CASE0221,2022-02-28,Hazratganj Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00385,CASE0004,2025-09-07,Whitefield Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00386,CASE0025,2023-09-21,Hazratganj Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00387,CASE0191,2022-11-21,Secunderabad Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00388,CASE0230,2022-10-09,Secunderabad Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00389,CASE0164,2023-07-12,MG Road Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00390,CASE0176,2023-05-03,Koregaon Park Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00391,CASE0204,2025-07-05,Bandra Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00392,CASE0049,2023-08-29,Whitefield Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00393,CASE0077,2022-12-01,Sector 17 Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00394,CASE0150,2023-02-03,Park Street Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00395,CASE0008,2025-10-20,Park Street Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00396,CASE0168,2024-04-01,Sector 17 Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00397,CASE0180,2024-09-05,Gomti Nagar Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00398,CASE0093,2025-10-17,Bandra Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00399,CASE0045,2024-10-03,Secunderabad Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00400,CASE0096,2023-11-30,Satellite Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00401,CASE0240,2025-03-31,Koramangala Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00402,CASE0098,2022-10-08,Secunderabad Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00403,CASE0078,2024-10-02,Malviya Nagar Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00404,CASE0228,2022-06-29,Malviya Nagar Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00405,CASE0177,2022-12-20,Gomti Nagar Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00406,CASE0022,2024-11-30,Whitefield Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00407,CASE0168,2025-11-13,Park Street Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00408,CASE0008,2022-05-26,Sector 17 Police Station,Cheating case registered involving forged property documents and misrepresentation. Subject also referred to as Rizwan Mrza. Phone noted in station diary as 9383182756. Subject also referred to as Sana Jooshi. Phone noted in station diary as 7766998681. Subject also referred to as Suresh Vrema. Phone noted in station diary as 8723875982. Subject also referred to as Sana Redy. Phone noted in station diary as 7109222544.
FIR00409,CASE0135,2025-11-21,Gomti Nagar Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00410,CASE0113,2025-08-19,T Nagar Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00411,CASE0063,2023-12-09,Koregaon Park Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00412,CASE0017,2022-02-11,T Nagar Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00413,CASE0088,2023-12-10,Koramangala Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00414,CASE0056,2025-04-04,Bandra Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00415,CASE0078,2023-05-08,Hazratganj Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00416,CASE0169,2023-12-02,Koramangala Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00417,CASE0179,2023-06-22,Hazratganj Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00418,CASE0188,2022-05-05,Secunderabad Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00419,CASE0094,2023-01-30,Bandra Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00420,CASE0090,2023-11-23,Satellite Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00421,CASE0044,2024-04-22,Malviya Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00422,CASE0181,2022-12-02,Hazratganj Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00423,CASE0212,2025-11-18,Satellite Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00424,CASE0211,2022-09-11,T Nagar Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00425,CASE0226,2023-07-21,Malviya Nagar Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00426,CASE0133,2025-03-09,Malviya Nagar Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00427,CASE0167,2025-10-26,Malviya Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00428,CASE0233,2022-06-25,Hazratganj Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00429,CASE0194,2023-03-19,Sector 17 Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00430,CASE0153,2022-10-14,Koregaon Park Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00431,CASE0155,2023-06-11,Park Street Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00432,CASE0155,2024-03-12,Malviya Nagar Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00433,CASE0015,2022-10-21,Gomti Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached. Subject also referred to as Ananya Kapooor. Phone noted in station diary as 6423552033. Subject also referred to as Shreya Rae. Phone noted in station diary as 9591922571. Subject also referred to as Harish Mennon. Phone noted in station diary as 6696904928. Subject also referred to as Kabir Mehty. Phone noted in station diary as 6878844844.
FIR00434,CASE0053,2025-02-07,Sector 17 Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00435,CASE0196,2025-03-26,Secunderabad Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00436,CASE0166,2025-08-08,MG Road Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00437,CASE0043,2022-09-25,Gomti Nagar Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00438,CASE0147,2024-09-13,Satellite Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00439,CASE0056,2024-10-04,T Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00440,CASE0070,2022-04-06,Andheri Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00441,CASE0213,2023-11-04,MG Road Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00442,CASE0030,2022-05-18,Sector 17 Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00443,CASE0226,2025-06-05,Whitefield Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00444,CASE0215,2024-02-23,T Nagar Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00445,CASE0130,2023-09-13,Secunderabad Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00446,CASE0113,2024-11-29,Whitefield Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00447,CASE0108,2023-03-04,Gomti Nagar Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00448,CASE0171,2022-10-10,Koregaon Park Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00449,CASE0152,2022-12-13,Andheri Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00450,CASE0140,2022-07-19,Gomti Nagar Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00451,CASE0175,2024-07-04,T Nagar Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00452,CASE0116,2024-09-05,Satellite Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00453,CASE0124,2025-05-27,Colaba Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00454,CASE0207,2022-11-25,Park Street Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00455,CASE0230,2022-10-13,Park Street Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00456,CASE0052,2025-06-15,Malviya Nagar Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00457,CASE0027,2022-02-18,Koregaon Park Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00458,CASE0094,2024-10-03,Park Street Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00459,CASE0011,2023-06-17,Sector 17 Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00460,CASE0022,2023-09-20,Park Street Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00461,CASE0088,2024-10-16,Malviya Nagar Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00462,CASE0232,2022-05-01,Andheri Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00463,CASE0033,2024-09-18,Hazratganj Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00464,CASE0113,2025-10-22,Koregaon Park Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00465,CASE0217,2025-05-21,Secunderabad Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
